rank,category,confidence,id_name,family,winols,ghidra,hub,delta,map_start,same_9979,source,atlas_id,atlas_addr,atlas_cols,atlas_rows,atlas_length,folder,fam_label,call_site,notes
181,rail,medium,rail_request_horsA2L_banque_06,rail_request_horsA2L_banque_06,0x1EACFC,0x801EACFC,F,0x194,0x1EAB68,1,hub,rail_request_horsA2L_banque_06,1EAB68,16,16,512,Hors A2L / provisoire,F_fam_unkX_unkY_1EACFC,0x80087D28,medium: pointe DANS rail_request_horsA2L_banque_06 @0x1EAB68 +0x194 (Hors A2L / provisoire) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=03639042516b uniq_u16=20
182,rail,medium,rail_request_horsA2L_banque_12,rail_request_horsA2L_banque_12,0x1EB924,0x801EB924,C,0x1BC,0x1EB768,1,hub,rail_request_horsA2L_banque_12,1EB768,16,16,512,Hors A2L / provisoire,C_fam_unkX_unkY_1EB924,0x800B5DB4,medium: pointe DANS rail_request_horsA2L_banque_12 @0x1EB768 +0x1BC (Hors A2L / provisoire) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=444b1cc6abaf uniq_u16=12
183,rail,medium,rail_request_horsA2L_banque_12,rail_request_horsA2L_banque_12,0x1EB934,0x801EB934,C,0x1CC,0x1EB768,1,hub,rail_request_horsA2L_banque_12,1EB768,16,16,512,Hors A2L / provisoire,C_fam_D0001CF4_unkY_1EB934,0x800B5E60,medium: pointe DANS rail_request_horsA2L_banque_12 @0x1EB768 +0x1CC (Hors A2L / provisoire) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4bd9052e6e5b uniq_u16=15
184,soi,high,soi_base_int_trq2A,soi_base_int_trq2A,0x18C380,0x8018C380,atlas_start,0x0,0x18C380,1,atlas_start,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=4b1942456fe7 uniq=6 len=512
185,soi,high,soi_base_int_trq2A@18C780,soi_base_int_trq2A,0x18C780,0x8018C780,atlas_start,0x0,0x18C780,1,atlas_start,soi_base_int_trq2A@18C780,18C780,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=674e29cef5ac uniq=13 len=512
186,soi,high,soi_base_int_trq2A@18C980,soi_base_int_trq2A,0x18C980,0x8018C980,atlas_start,0x0,0x18C980,1,atlas_start,soi_base_int_trq2A@18C980,18C980,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=a77c234a56e6 uniq=5 len=512
187,soi,high,soi_base_int_trq2A@18CB80,soi_base_int_trq2A,0x18CB80,0x8018CB80,atlas_start,0x0,0x18CB80,1,atlas_start,soi_base_int_trq2A@18CB80,18CB80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
188,soi,high,soi_base_int_trq2A@18CD80,soi_base_int_trq2A,0x18CD80,0x8018CD80,atlas_start,0x0,0x18CD80,1,atlas_start,soi_base_int_trq2A@18CD80,18CD80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=47c58cdb35cc uniq=5 len=512
189,soi,high,soi_base_int_trq2A@18CF80,soi_base_int_trq2A,0x18CF80,0x8018CF80,atlas_start,0x0,0x18CF80,1,atlas_start,soi_base_int_trq2A@18CF80,18CF80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=2fba02306a60 uniq=7 len=512
190,soi,high,soi_base_int_trq2A@18D180,soi_base_int_trq2A,0x18D180,0x8018D180,atlas_start,0x0,0x18D180,1,atlas_start,soi_base_int_trq2A@18D180,18D180,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=2fba02306a60 uniq=7 len=512
191,soi,high,soi_base_int_trq2A@18D380,soi_base_int_trq2A,0x18D380,0x8018D380,atlas_start,0x0,0x18D380,1,atlas_start,soi_base_int_trq2A@18D380,18D380,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=2fba02306a60 uniq=7 len=512
192,soi,high,soi_base_int_trq2A@18D580,soi_base_int_trq2A,0x18D580,0x8018D580,atlas_start,0x0,0x18D580,1,atlas_start,soi_base_int_trq2A@18D580,18D580,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=4b1942456fe7 uniq=6 len=512
193,soi,high,soi_base_int_trq2A@18D980,soi_base_int_trq2A,0x18D980,0x8018D980,atlas_start,0x0,0x18D980,1,atlas_start,soi_base_int_trq2A@18D980,18D980,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=674e29cef5ac uniq=13 len=512
