rank,hub,addr,grid80,id_name,family,roles,folder,delta,map_start,uniq_u16,usefulness,same_9979,call_site,axis_x,axis_y,fam_label,family_id_re,notes
1,B,0x1D0AA8,0xA01D0AA8,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x4C,0x1D0A5C,29,10,1,0x8010FED6,,0xA01B6818,B_fam_unkX_unkY_1D0AA8,B_fam_0025,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x4C (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4e23ee78a921 uniq_u16=29
32,D,0x1D24BC,0xA01D24BC,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x24C,0x1D2270,25,30,1,0x80105626,,,D_fam_unkX_unkY_1D24BC,D_fam_0228,medium: pointe DANS smoke_mapA @0x1D2270 +0x24C (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=d8968853b875 uniq_u16=25
33,2d,0x1D24CC,0xA01D24CC,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x25C,0x1D2270,19,30,1,0x80105DE2,,,fam_unkX_unkY_1D24CC,fam_0178,medium: pointe DANS smoke_mapA @0x1D2270 +0x25C (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=d45fe72feba0 uniq_u16=19
34,2d,0x1D2A30,0xA01D2A30,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x268,0x1D27C8,29,30,1,0x8012E74A,0xA01AA930,0xA01AC92C,fam_unkX_unkY_1D2A30,fam_0012,medium: pointe DANS smoke_mapA @0x1D27C8 +0x268 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=654e316edee0 uniq_u16=29
35,L,0x1C0A04,0xA01C0A04,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x58,0x1C09AC,30,50,1,0x8009B086,0xA01A9AE8,0xA01A8AE8,L_fam_unkX_D0002416_1C0A04,L_fam_0008,medium: pointe DANS turbo_base3B @0x1C09AC +0x58 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=0483f32db26e uniq_u16=30
36,O,0x1C0A04,0xA01C0A04,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x58,0x1C09AC,30,50,1,0x8009B074,0xA01AAAE8,0xA01A9AE8,O_fam_unkX_D0002416_1C0A04,O_fam_0002,medium: pointe DANS turbo_base3B @0x1C09AC +0x58 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=0483f32db26e uniq_u16=30
37,2d,0x1C0A44,0xA01C0A44,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x98,0x1C09AC,30,50,1,0x800E4110,,,fam_unkX_unkY_1C0A44,fam_0156,medium: pointe DANS turbo_base3B @0x1C09AC +0x98 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=552c81739bd4 uniq_u16=30
38,D,0x1C1950,0xA01C1950,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0xA4,0x1C18AC,28,50,1,0x800E2122,0xA01B68A8,,D_fam_unkX_unkY_1C1950,D_fam_0102,medium: pointe DANS turbo_base3B @0x1C18AC +0xA4 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=ffc98bf253b2 uniq_u16=28
39,I,0x1C1950,0xA01C1950,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0xA4,0x1C18AC,28,50,1,0x800E20F4,,,I_fam_unkX_unkY_1C1950,I_fam_0110,medium: pointe DANS turbo_base3B @0x1C18AC +0xA4 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=ffc98bf253b2 uniq_u16=28
40,D,0x1C197C,0xA01C197C,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0xD0,0x1C18AC,27,50,1,0x800E9084,0xA01A2580,,D_fam_unkX_unkY_1C197C,D_fam_0074,medium: pointe DANS turbo_base3B @0x1C18AC +0xD0 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=952cccadb46c uniq_u16=27
41,I,0x1C197C,0xA01C197C,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0xD0,0x1C18AC,27,50,1,0x800E9058,,,I_fam_unkX_unkY_1C197C,I_fam_0113,medium: pointe DANS turbo_base3B @0x1C18AC +0xD0 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=952cccadb46c uniq_u16=27
42,C,0x1C0A84,0xA01C0A84,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0xD8,0x1C09AC,29,50,1,0x80078AD6,,,C_fam_D000209C_unkY_1C0A84,C_fam_0256,medium: pointe DANS turbo_base3B @0x1C09AC +0xD8 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=8273e47f5ea6 uniq_u16=29
43,C,0x1C0A98,0xA01C0A98,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0xEC,0x1C09AC,28,50,1,0x80085C3A,0xA01B4870,,C_fam_unkX_unkY_1C0A98,C_fam_0169,medium: pointe DANS turbo_base3B @0x1C09AC +0xEC (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=58ab081a07d9 uniq_u16=28
44,O,0x1C0AA4,0xA01C0AA4,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0xF8,0x1C09AC,28,50,1,0x8009ACB8,0xA01B1874,0xA01B1874,O_fam_unkX_unkY_1C0AA4,O_fam_0003,medium: pointe DANS turbo_base3B @0x1C09AC +0xF8 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7f11d342f15c uniq_u16=28
45,C,0x1C37AC,0xA01C37AC,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x100,0x1C36AC,28,50,1,0x800CD140,,,C_fam_unkX_unkY_1C37AC,C_fam_0307,medium: pointe DANS turbo_base3B @0x1C36AC +0x100 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=abf368fc3549 uniq_u16=28
46,E,0x1C37BC,0xA01C37BC,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x110,0x1C36AC,28,50,1,0x80096F00,,,E_fam_D0000000_D00006CA_1C37BC,E_fam_0047,medium: pointe DANS turbo_base3B @0x1C36AC +0x110 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=553d01caa28f uniq_u16=28
47,C,0x1C0AC4,0xA01C0AC4,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x118,0x1C09AC,28,50,1,0x800A2EE2,,,C_fam_D0001DC6_D0001DC4_1C0AC4,C_fam_0038,medium: pointe DANS turbo_base3B @0x1C09AC +0x118 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=8234191e9298 uniq_u16=28
48,C,0x1C0AD0,0xA01C0AD0,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x124,0x1C09AC,27,50,1,0x80078AB4,,,C_fam_D000209C_D000208A_1C0AD0,C_fam_0197,medium: pointe DANS turbo_base3B @0x1C09AC +0x124 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=ea40367bff6b uniq_u16=27
49,O,0x1C0AE4,0xA01C0AE4,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x138,0x1C09AC,26,50,1,0x8009AD22,0xA01B1874,0xA01B1874,O_fam_D000241E_unkY_1C0AE4,O_fam_0003,medium: pointe DANS turbo_base3B @0x1C09AC +0x138 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=e7ab0b643769 uniq_u16=26
50,2d,0x1C19E8,0xA01C19E8,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x13C,0x1C18AC,22,50,1,0x800DF018,0xA01AA8A8,0xA01B595C,fam_unkX_unkY_1C19E8,fam_0066,medium: pointe DANS turbo_base3B @0x1C18AC +0x13C (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=26e2c5d683b4 uniq_u16=22
51,B,0x1C37F4,0xA01C37F4,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x148,0x1C36AC,22,50,1,0x800BD03A,0xA01A6710,0xA01AE940,B_fam_unkX_unkY_1C37F4,B_fam_0004,medium: pointe DANS turbo_base3B @0x1C36AC +0x148 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=97bc115b67ca uniq_u16=22
52,C,0x1C088C,0xA01C088C,turbo_base3B,turbo_base3B,stage1_core|stage1_support,Turbo boost pressure,0x160,0x1C072C,21,50,1,0x800F8F0A,,,C_fam_unkX_unkY_1C088C,C_fam_0329,medium: pointe DANS turbo_base3B @0x1C072C +0x160 (Turbo boost pressure) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=2992700c306f uniq_u16=21
