Golf 9980 - Stage1 VALIDATED pack (auto)
Source: hub grids + atlas START fingerprints vs atlas 9979 / A2L
HIGH = rename OK (skip AccPed if already labeled) | MEDIUM = comment only

counts: unique_addrs=357  high=145  medium=212

=== CHECKLIST: HIGH (all) ===
  high   8018C380   18C380     soi_base_int_trq2A       16x16
  high   8018C780   18C780     soi_base_int_trq2A@18C78 16x16
  high   8018C980   18C980     soi_base_int_trq2A@18C98 16x16
  high   8018CB80   18CB80     soi_base_int_trq2A@18CB8 16x16
  high   8018CD80   18CD80     soi_base_int_trq2A@18CD8 16x16
  high   8018CF80   18CF80     soi_base_int_trq2A@18CF8 16x16
  high   8018D180   18D180     soi_base_int_trq2A@18D18 16x16
  high   8018D380   18D380     soi_base_int_trq2A@18D38 16x16
  high   8018D580   18D580     soi_base_int_trq2A@18D58 16x16
  high   8018D980   18D980     soi_base_int_trq2A@18D98 16x16
  high   8018DB80   18DB80     soi_base_int_trq2A@18DB8 16x16
  high   8018DD80   18DD80     soi_base_int_trq2A@18DD8 16x16
  ... +115 more

=== duration (11) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801CDC84   1CDC84     duration_inj6A           18x24
  high   801CDFE4   1CDFE4     duration_inj6A@1CDFE4    18x24
  medium 801CDE04   1CDE04     duration_inj6A           18x24
  medium 801CDE44   1CDE44     duration_inj6A           18x24
  medium 801CDE50   1CDE50     duration_inj6A           18x24
  medium 801CDE5C   1CDE5C     duration_inj6A           18x24
  medium 801CDE8C   1CDE8C     duration_inj6A           18x24
  medium 801CE29C   1CE29C     duration_inj6A           18x24
  medium 801CDF60   1CDF60     duration_inj6A           18x24
  medium 801CE2CC   1CE2CC     duration_inj6A           18x24
  medium 801CE310   1CE310     duration_inj6A           18x24

=== speed_limiter (7) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   8018047C   18047C     vmax3                    1x1
  high   8018047E   18047E     vmax3@18047E             1x1
  high   8018048A   18048A     vmax2                    1x1
  high   8018048C   18048C     vmax2@18048C             1x1
  high   8018049E   18049E     vmax3@18049E             1x1
  high   801804A0   1804A0     vmax3@1804A0             1x1
  high   801804A2   1804A2     vmax3@1804A2             1x1

=== egr_control (2) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801D0120   1D0120     airctl_hysteresisC@1D012 16x1
  high   801D0180   1D0180     airctl_hysteresisC@1D018 16x1

=== dtc_dpf (9) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801A0071   1A0071     DTC_P2002                16x3
  high   801A009D   1A009D     DTC_P2453                16x8
  high   801A01D1   1A01D1     DTC_P0471                16x3
  high   801A0229   1A0229     DTC_P2456                16x3
  high   801A1409   1A1409     DTC_P2463                16x3
  high   801A22A5   1A22A5     DTC_P3004                16x2
  high   801A2381   1A2381     DTC_P3005                16x2
  high   801A2959   1A2959     DTC_P2458                16x3
  high   801A32A1   1A32A1     DTC_P2454                16x3

=== dtc_egr (10) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   8019E809   19E809     DTC_P1428                16x2
  high   801A06A1   1A06A1     DTC_P2425                16x3
  high   801A06CD   1A06CD     DTC_P2426                16x3
  high   801A06F9   1A06F9     DTC_P2427                16x3
  high   801A0725   1A0725     DTC_P0401                16x3
  high   801A0751   1A0751     DTC_P0402                16x3
  high   801A0885   1A0885     DTC_P0403                16x6
  high   801A0935   1A0935     DTC_P0400                16x3
  high   801A0961   1A0961     DTC_P1400                16x3
  high   801A3325   1A3325     DTC_P0407                16x3

=== dtc_egt (5) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   8019FE09   19FE09     DTC_P2080                16x3
  high   8019FE35   19FE35     DTC_P242B                16x3
  high   801A2CC9   1A2CC9     DTC_P0544                16x3
  high   801A2DA5   1A2DA5     DTC_P246E                16x2
  high   801A2DD1   1A2DD1     DTC_P0545                16x3
