category,cat_rank,confidence,id_name,family,addr,winols,ghidra,hub,delta,atlas_id,atlas_addr,atlas_cols,atlas_rows,atlas_length,folder,group,same_9979,exact_fp,relocated,new_name,notes
rail,60,high,rail_request_horsA2L_banque_08,rail_request_horsA2L_banque_08,0x1EAF68,0x1EAF68,0x801EAF68,atlas_start,0x0,rail_request_horsA2L_banque_08,1EAF68,16,16,512,Hors A2L / provisoire,provisoire,1,1,0,rail_request_horsA2L_banque_08,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=943ee4a28331 uniq=12 len=512
rail,60,high,rail_request_horsA2L_banque_09,rail_request_horsA2L_banque_09,0x1EB168,0x1EB168,0x801EB168,atlas_start,0x0,rail_request_horsA2L_banque_09,1EB168,16,16,512,Hors A2L / provisoire,provisoire,1,1,0,rail_request_horsA2L_banque_09,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=3d04ec29aa27 uniq=9 len=512
rail,60,high,rail_request_horsA2L_banque_10,rail_request_horsA2L_banque_10,0x1EB368,0x1EB368,0x801EB368,atlas_start,0x0,rail_request_horsA2L_banque_10,1EB368,16,16,512,Hors A2L / provisoire,provisoire,1,1,0,rail_request_horsA2L_banque_10,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=322ebe2c6b79 uniq=13 len=512
rail,60,high,rail_request_horsA2L_banque_11,rail_request_horsA2L_banque_11,0x1EB568,0x1EB568,0x801EB568,atlas_start,0x0,rail_request_horsA2L_banque_11,1EB568,16,16,512,Hors A2L / provisoire,provisoire,1,1,0,rail_request_horsA2L_banque_11,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=be3453da655c uniq=8 len=512
rail,60,high,rail_request_horsA2L_banque_12,rail_request_horsA2L_banque_12,0x1EB768,0x1EB768,0x801EB768,atlas_start,0x0,rail_request_horsA2L_banque_12,1EB768,16,16,512,Hors A2L / provisoire,provisoire,1,1,0,rail_request_horsA2L_banque_12,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=fa2677dfb78a uniq=11 len=512
rail,60,high,rail_request_horsA2L_banque_13,rail_request_horsA2L_banque_13,0x1EB968,0x1EB968,0x801EB968,atlas_start,0x0,rail_request_horsA2L_banque_13,1EB968,16,16,512,Hors A2L / provisoire,provisoire,1,1,0,rail_request_horsA2L_banque_13,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=7a24dda4f87e uniq=13 len=512
rail,60,high,rail_request_horsA2L_banque_14,rail_request_horsA2L_banque_14,0x1EBB68,0x1EBB68,0x801EBB68,atlas_start,0x0,rail_request_horsA2L_banque_14,1EBB68,16,16,512,Hors A2L / provisoire,provisoire,1,1,0,rail_request_horsA2L_banque_14,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=7a24dda4f87e uniq=13 len=512
rail,60,high,rail_lim_horsA2L_A,rail_lim_horsA2L_A,0x1EBDD8,0x1EBDD8,0x801EBDD8,atlas_start,0x0,rail_lim_horsA2L_A,1EBDD8,55,1,111,Hors A2L / provisoire,provisoire,1,1,0,rail_lim_horsA2L_A,high: atlas start fingerprint match cols=55 rows=1 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=352302489bc2 uniq=1 len=111
rail,60,high,rail_lim_horsA2L_B,rail_lim_horsA2L_B,0x1EBE58,0x1EBE58,0x801EBE58,atlas_start,0x0,rail_lim_horsA2L_B,1EBE58,55,1,111,Hors A2L / provisoire,provisoire,1,1,0,rail_lim_horsA2L_B,high: atlas start fingerprint match cols=55 rows=1 src=atlas; note: low u16 diversity (plateau OK at known start); identique vs ORI 9979; fp=352302489bc2 uniq=1 len=111
soi,70,high,soi_base_int_trq2A,soi_base_int_trq2A,0x18C380,0x18C380,0x8018C380,atlas_start,0x0,soi_base_int_trq2A,18C380,16,16,512,Start of injection SOI,priority,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=4b1942456fe7 uniq=6 len=512
